station,date,tmpf
DEN,2017-01-01,21.9
DEN,2017-01-01,21.9
DEN,2017-01-01,19
DEN,2017-01-01,17.1
DEN,2017-01-01,18
DEN,2017-01-01,18
DEN,2017-01-01,21.9
DEN,2017-01-01,24.1
DEN,2017-01-01,32
DEN,2017-01-01,39
DEN,2017-01-01,44.1
DEN,2017-01-01,46
DEN,2017-01-01,46
DEN,2017-01-01,45
DEN,2017-01-01,42.1
DEN,2017-01-01,37
DEN,2017-01-01,36
DEN,2017-01-01,32
DEN,2017-01-01,30.9
DEN,2017-01-01,30.9
DEN,2017-01-01,30.9
DEN,2017-01-01,28.9
DEN,2017-01-01,30
DEN,2017-01-01,28.9
DEN,2017-01-02,27
DEN,2017-01-02,24.1
DEN,2017-01-02,21.9
DEN,2017-01-02,21.9
DEN,2017-01-02,21.9
DEN,2017-01-02,23
DEN,2017-01-02,32
DEN,2017-01-02,30.9
DEN,2017-01-02,39
DEN,2017-01-02,44.1
DEN,2017-01-02,48
DEN,2017-01-02,50
DEN,2017-01-02,41
DEN,2017-01-02,30
DEN,2017-01-02,33.1
DEN,2017-01-02,30
DEN,2017-01-02,28
DEN,2017-01-02,25
DEN,2017-01-02,21.9
DEN,2017-01-02,23
DEN,2017-01-02,23
DEN,2017-01-02,24.1
DEN,2017-01-02,19
DEN,2017-01-02,19.9
DEN,2017-01-02,19.4
DEN,2017-01-02,19.9
DEN,2017-01-02,17.1
DEN,2017-01-02,16
DEN,2017-01-02,15.1
DEN,2017-01-03,14
DEN,2017-01-03,12.9
DEN,2017-01-03,12.9
DEN,2017-01-03,12
DEN,2017-01-03,12
DEN,2017-01-03,12
DEN,2017-01-03,12
DEN,2017-01-03,12
DEN,2017-01-03,12
DEN,2017-01-03,12
DEN,2017-01-03,12.2
DEN,2017-01-03,12.9
DEN,2017-01-03,16
DEN,2017-01-03,19.9
DEN,2017-01-03,19.9
DEN,2017-01-03,21.2
DEN,2017-01-03,21
DEN,2017-01-03,25
DEN,2017-01-03,28.9
DEN,2017-01-03,32
DEN,2017-01-03,28.9
DEN,2017-01-03,28.9
DEN,2017-01-03,26.1
DEN,2017-01-03,21
DEN,2017-01-03,17.1
DEN,2017-01-03,15.1
DEN,2017-01-03,12.9
DEN,2017-01-03,10.9
DEN,2017-01-03,10.9
DEN,2017-01-03,10.4
DEN,2017-01-03,10.4
DEN,2017-01-03,10
DEN,2017-01-03,10.4
DEN,2017-01-03,10
DEN,2017-01-03,10.9
DEN,2017-01-04,10.4
DEN,2017-01-04,10
DEN,2017-01-04,10
DEN,2017-01-04,10.9
DEN,2017-01-04,10.9
DEN,2017-01-04,10.9
DEN,2017-01-04,10
DEN,2017-01-04,10
DEN,2017-01-04,9
DEN,2017-01-04,9
DEN,2017-01-04,9
DEN,2017-01-04,9
DEN,2017-01-04,9
DEN,2017-01-04,10.4
DEN,2017-01-04,10
DEN,2017-01-04,10.9
DEN,2017-01-04,12
DEN,2017-01-04,10.9
DEN,2017-01-04,10.9
DEN,2017-01-04,10
DEN,2017-01-04,10
DEN,2017-01-04,10
DEN,2017-01-04,8.6
DEN,2017-01-04,9
DEN,2017-01-04,7
DEN,2017-01-04,6.8
DEN,2017-01-04,7
DEN,2017-01-04,6.1
DEN,2017-01-04,6.1
DEN,2017-01-04,6.1
DEN,2017-01-04,5
DEN,2017-01-04,5
DEN,2017-01-04,5
DEN,2017-01-04,5
DEN,2017-01-04,5
DEN,2017-01-04,5
DEN,2017-01-04,5
DEN,2017-01-04,5
DEN,2017-01-04,5
DEN,2017-01-04,5
DEN,2017-01-04,5
DEN,2017-01-04,5
DEN,2017-01-04,5
DEN,2017-01-04,3.9
DEN,2017-01-04,3.9
DEN,2017-01-04,3.9
DEN,2017-01-04,3.9
DEN,2017-01-04,3.9
DEN,2017-01-04,3.9
DEN,2017-01-04,3.9
DEN,2017-01-04,3.9
DEN,2017-01-04,3.9
DEN,2017-01-05,3
DEN,2017-01-05,3
DEN,2017-01-05,3.2
DEN,2017-01-05,3
DEN,2017-01-05,3.2
DEN,2017-01-05,3
DEN,2017-01-05,1.9
DEN,2017-01-05,1.9
DEN,2017-01-05,1.4
DEN,2017-01-05,1.9
DEN,2017-01-05,1.9
DEN,2017-01-05,1.4
DEN,2017-01-05,1.9
DEN,2017-01-05,1.9
DEN,2017-01-05,1.4
DEN,2017-01-05,1.9
DEN,2017-01-05,1.4
DEN,2017-01-05,1.9
DEN,2017-01-05,1.9
DEN,2017-01-05,1.9
DEN,2017-01-05,3
DEN,2017-01-05,1.9
DEN,2017-01-05,3.9
DEN,2017-01-05,5
DEN,2017-01-05,3.9
DEN,2017-01-05,3.9
DEN,2017-01-05,5
DEN,2017-01-05,3.9
DEN,2017-01-05,3.9
DEN,2017-01-05,3
DEN,2017-01-05,1.9
DEN,2017-01-05,1
DEN,2017-01-05,1.9
DEN,2017-01-05,0
DEN,2017-01-05,1
DEN,2017-01-05,0
DEN,2017-01-05,0
DEN,2017-01-06,1.9
DEN,2017-01-06,1
DEN,2017-01-06,1.9
DEN,2017-01-06,-2
DEN,2017-01-06,0
DEN,2017-01-06,-2.9
DEN,2017-01-06,-4
DEN,2017-01-06,-4
DEN,2017-01-06,-4
DEN,2017-01-06,1.9
DEN,2017-01-06,8.1
DEN,2017-01-06,12.9
DEN,2017-01-06,18
DEN,2017-01-06,18
DEN,2017-01-06,19.9
DEN,2017-01-06,18
DEN,2017-01-06,16
DEN,2017-01-06,9
